3GFT	A	1
3GFT	B	1
3GFT	C	1
3GFT	D	1
3GFT	E	1
3GFT	F	1
4DSN	A	1
4EPR	A	0
4L8G	A	0
4LDJ	A	0
4LPK	A	0
4LPK	B	0
4LRW	A	0
4LRW	B	0
4LYF	A	0
4LYF	C	0
4LYH	A	0
4M1O	A	0
4M1O	C	0
4M1S	A	0
4M1S	C	0
4M1T	A	0
4M1T	C	0
4M1W	A	0
4M1Y	A	0
4M1Y	C	0
4M21	A	0
4M21	C	0
4M22	A	0
4OBE	A	0
4OBE	B	0
4PZY	A	0
4QL3	A	0
4TQ9	A	0
4TQ9	B	0
4TQA	A	0
4TQA	B	0
4WA7	A	0
5OCO	A	1
5UK9	A	0
5UK9	B	1
5UQW	A	0
5UQW	B	0
5US4	A	0
5US4	B	0
5USJ	A	1
5USJ	B	1
5USJ	C	1
5USJ	D	1
5USJ	E	1
5USJ	F	1
5VP7	A	0
5VP7	F	0
5VPI	A	1
5VPI	B	1
5VPY	A	1
5VPY	B	1
5VPZ	A	1
5VPZ	B	1
5VQ0	A	0
5VQ0	B	0
5VQ1	A	0
5VQ1	B	0
5VQ2	A	1
5VQ2	B	1
5VQ6	A	1
5VQ6	B	1
5VQ8	A	0
5VQ8	B	0
5W22	A	0
5W22	B	0
5WHD	A	0
5WHD	B	0
5WHD	C	0
5WHD	D	0
6ARK	A	0
6ASA	A	0
6ASE	A	0
6BOF	A	0
6BOF	B	0
6BP1	A	1
6CU6	A	1
6CU6	B	1
6CU6	C	1
6E6F	A	1
6E6F	B	1
6E6G	A	0
6F76	A	1
6F76	B	1
6F76	C	1
6F76	D	1
6F76	E	1
6F76	F	1
6FA1	A	1
6FA1	C	1
6FA1	D	1
6FA1	E	1
6FA3	D	1
6FA3	E	1
6FA4	C	1
6FA4	E	1
6GOD	A	1
6GOE	A	1
6GOF	A	1
6GOG	A	1
6GOG	B	1
6GOG	C	1
6GOG	D	1
6GOG	E	1
6GOG	F	1
6GOM	B	1
6GOM	C	1
6GOM	D	1
6GOM	E	1
6GOM	F	1
6GQT	A	1
6GQT	E	1
6GQW	D	1
6GQW	E	1
6GQX	D	1
6GQX	E	1
6GQX	F	1
6GQY	E	1
6GQY	F	1
6M9W	A	0
6MBQ	A	1
6MBT	A	0
6MBT	B	0
6MBU	A	0
6MBU	B	0
6MNX	A	1
6MNX	B	1
6MNX	C	1
6MNX	D	1
6MNX	E	1
6MNX	F	1
6MQG	A	0
6MQN	A	0
6MQN	B	0
6MQN	C	0
6MS9	A	0
6MS9	B	0
6MS9	C	0
6MTA	A	1
6MTA	B	1
6MTA	C	1
6O36	A	1
6O36	B	1
6O36	C	1
6O46	A	1
6O46	B	1
6O46	C	1
6P0Z	A	0
6P0Z	B	0
6PGO	B	0
6PQ3	A	0
6QUU	A	1
6QUU	B	1
6QUV	A	1
6QUW	A	1
6QUX	A	1
6VC8	A	1
6VC8	B	1
6VC8	C	1
6WS2	A	0
6WS2	B	0
6WS2	C	0
6WS2	D	0
6WS4	A	0
6WS4	B	0
6WS4	C	0
6WS4	D	0
6ZLI	A	1
7ACA	C	1
7ACA	D	1
7ACF	B	1
7ACF	D	1
7ACH	B	1
7ACQ	A	0
7C40	A	0
7C41	G	0
7C41	J	0
7C41	M	0
7EW9	C	0
7EWA	C	1
7EYX	A	0
7F0W	A	0
7KMR	A	0
